Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2005,2,4,75,Boston College,Wisconsin Milwaukee,83,12,Wisconsin Milwaukee
2005,2,1,97,Washington,Pacific,79,8,Washington
2005,2,2,105,Wake Forest,West Virginia,111,7,West Virginia
2005,2,3,69,Gonzaga,Texas Tech,71,6,Texas Tech
2005,2,4,76,Louisville,Georgia Tech,54,5,Louisville
2005,2,1,92,North Carolina,Iowa St,65,9,North Carolina
2005,2,2,62,Connecticut,NC State,65,10,NC State
2005,2,14,62,Bucknell,Wisconsin,71,6,Wisconsin
2005,2,4,65,Florida,Villanova,76,5,Villanova
2005,2,1,63,Duke,Mississippi St,55,9,Duke
2005,2,2,69,Kentucky,Cincinnati,60,7,Kentucky
2005,2,3,58,Oklahoma,Utah,67,6,Utah
2005,2,13,61,Vermont,Michigan St,72,5,Michigan St
2005,3,1,77,Illinois,Wisconsin Milwaukee,63,12,Illinois
2005,3,2,78,Oklahoma St,Arizona,79,3,Arizona
2005,3,1,79,Washington,Louisville,93,4,Louisville
2005,3,7,65,West Virginia,Texas Tech,60,6,West Virginia
2005,3,1,67,North Carolina,Villanova,66,5,North Carolina
2005,3,10,56,NC State,Wisconsin,65,6,Wisconsin
2005,3,1,68,Duke,Michigan St,78,5,Michigan St
2005,3,2,62,Kentucky,Utah,52,6,Kentucky
2005,4,1,90,Illinois,Arizona,89,3,Illinois
2005,4,4,93,Louisville,West Virginia,85,7,Louisville
2005,4,1,88,North Carolina,Wisconsin,82,6,North Carolina
2005,4,5,94,Michigan St,Kentucky,88,2,Michigan St
2005,5,1,72,Illinois,Louisville,57,4,Illinois
2005,5,1,87,North Carolina,Michigan St,71,5,North Carolina
2005,6,1,70,Illinois,North Carolina,75,1,North Carolina
2006,1,1,70,Duke,Southern,54,16,Duke
2006,1,2,60,Texas,Pennsylvania,52,15,Texas
2006,1,3,63,Iowa,Northwestern St,64,14,Northwestern St
2006,1,4,80,LSU,Iona,64,13,LSU
2006,1,5,58,Syracuse,Texas A&M,66,12,Texas A&M
2006,1,6,64,West Virginia,Southern Illinois,46,11,West Virginia
2006,1,7,52,California,NC State,58,10,NC State
2006,1,8,88,George Washington,UNC Wilmington,85,9,George Washington
2006,1,1,94,Memphis,Oral Roberts,78,16,Memphis
2006,1,2,78,UCLA,Belmont,44,15,UCLA
2006,1,3,79,Gonzaga,Xavier,75,14,Gonzaga
2006,1,4,73,Kansas,Bradley,77,13,Bradley
2006,1,5,79,Pittsburgh,Kent St,64,12,Pittsburgh
2006,1,6,87,Indiana,San Diego St,83,11,Indiana
2006,1,7,85,Marquette,Alabama,90,10,Alabama
2006,1,8,55,Arkansas,Bucknell,59,9,Bucknell
2006,1,1,72,Connecticut,Albany,59,16,Connecticut
2006,1,2,63,Tennessee,Winthrop,61,15,Tennessee
2006,1,3,69,North Carolina,Murray St,65,14,North Carolina
2006,1,4,78,Illinois,Air Force,69,13,Illinois
2006,1,5,75,Washington,Utah St,61,12,Washington
2006,1,6,65,Michigan St,George Mason,75,11,George Mason
2006,1,7,86,Wichita St,Seton Hall,66,10,Wichita St
2006,1,8,69,Kentucky,UAB,64,9,Kentucky
2006,1,1,58,Villanova,Monmouth,45,16,Villanova
2006,1,2,70,Ohio St,Davidson,62,15,Ohio St
2006,1,3,76,Florida,South Alabama,50,14,Florida
2006,1,4,88,Boston College,Pacific,76,13,Boston College
2006,1,5,79,Nevada,Montana,87,12,Montana
2006,1,6,74,Oklahoma,Wisconsin Milwaukee,82,11,Wisconsin Milwaukee
2006,1,7,54,Georgetown,Northern Iowa,49,10,Georgetown
2006,1,8,94,Arizona,Wisconsin,75,9,Arizona
2006,2,1,74,Duke,George Washington,61,8,Duke
2006,2,2,75,Texas,NC State,54,10,Texas
2006,2,14,54,Northwestern St,West Virginia,67,6,West Virginia
2006,2,4,58,LSU,Texas A&M,57,12,LSU
2006,2,1,72,Memphis,Bucknell,56,9,Memphis
2006,2,2,62,UCLA,Alabama,59,10,UCLA
2006,2,3,90,Gonzaga,Indiana,80,6,Gonzaga
2006,2,13,72,Bradley,Pittsburgh,66,5,Bradley
2006,2,1,87,Connecticut,Kentucky,83,8,Connecticut
2006,2,2,73,Tennessee,Wichita St,80,7,Wichita St
2006,2,3,60,North Carolina,George Mason,65,11,George Mason
2006,2,4,64,Illinois,Washington,67,5,Washington
2006,2,1,82,Villanova,Arizona,78,8,Villanova
2006,2,2,52,Ohio St,Georgetown,70,7,Georgetown
2006,2,3,82,Florida,Wisconsin Milwaukee,60,11,Florida
2006,2,4,69,Boston College,Montana,56,12,Boston College
2006,3,1,54,Duke,LSU,62,4,LSU
2006,3,2,74,Texas,West Virginia,71,6,Texas
2006,3,1,80,Memphis,Bradley,64,13,Memphis
2006,3,2,73,UCLA,Gonzaga,71,3,UCLA
2006,3,1,98,Connecticut,Washington,92,5,Connecticut
2006,3,7,55,Wichita St,George Mason,63,11,George Mason
2006,3,1,60,Villanova,Boston College,59,4,Villanova
2006,3,7,53,Georgetown,Florida,57,3,Florida
2006,4,4,70,LSU,Texas,60,2,LSU
2006,4,1,45,Memphis,UCLA,50,2,UCLA
